64
# x y z
0.090 0.430 0.000
15 18 19 22 -7498.193720 0.607059
15 18 20 23 -5263.490510 2.972639
15 18 21 24 -2552.447300 0.212059
15 18 22 25 6676.167340 2.095126
15 18 23 26 7620.580520 0.772049
15 18 25 28 -2563.015955 0.587329
15 18 27 30 -4833.118240 0.634622
15 18 28 31 -3552.403145 0.898767
15 18 30 33 4277.120160 1.096693
15 18 32 35 4197.389815 0.426921
15 18 34 37 -2327.340560 1.640489
15 18 35 38 -2724.264280 1.187661
15 18 36 39 -2585.497075 1.721624
15 18 37 40 -1705.695780 0.642721
15 18 38 41 2838.705065 1.827405
15 18 39 42 3205.994190 1.608588
15 18 40 43 3007.916185 1.742647
15 18 41 44 -1119.079605 1.173919
15 18 42 45 -1532.208880 1.245697
15 18 43 46 -1731.128310 1.469034
15 18 44 47 -1767.539810 1.291927
15 18 45 48 -1420.049035 1.466180
15 18 46 49 2002.179590 1.367371
15 18 47 50 2311.732895 1.301152
15 18 48 51 2239.750960 1.624072
15 18 49 52 -919.290336 1.435194
