64
# x y z
+.09000 +.43000 +.00000
+.14000 +.43000 +.00000
+.19000 +.43000 +.00000
+.24000 +.43000 +.00000
+.29000 +.43000 +.00000
+.34000 +.43000 +.00000
15 18 60 63 -1034.551900
15 18 61 64 -939.727176
15 18 62 1 5322.970650
15 18 63 2 5540.887895
15 18 64 3 4365.252825
16 19 17 20 -207.863550
16 19 18 21 -4652.411075
16 19 20 23 -6608.983590
16 19 21 24 -4003.249780
16 19 22 25 4673.179925
16 19 23 26 6274.324820
16 19 25 28 -651.303202
16 19 26 29 -2896.012675
16 19 27 30 -4973.308220
16 19 28 31 -4319.261115
16 19 29 32 -3017.888405
16 19 30 33 3299.028490
16 19 31 34 4097.290445
16 19 33 36 -735.442449
16 19 34 37 -1809.995560
16 19 35 38 -2641.817895
16 19 36 39 -2746.297315
16 19 37 40 -2003.606590
16 19 38 41 2324.834215
16 19 39 42 2908.710090
16 19 40 43 2961.132950
16 19 41 44 -788.308736
16 19 42 45 -1263.593690
16 19 43 46 -1615.240020
16 19 44 47 -1772.911130
16 19 45 48 -1490.117690
16 19 46 49 1723.087300
16 19 47 50 2118.672525
16 19 48 51 2152.679165
16 19 49 52 -731.912454
16 19 50 53 -967.461397
16 19 51 54 -1158.780170
16 19 52 55 -1263.889650
16 19 53 56 -1161.315000
16 19 54 57 1428.244455
16 19 55 58 1675.364195
16 19 56 59 1723.638140
16 19 57 60 -689.162912
16 19 58 61 -843.055261
16 19 59 62 -970.608059
16 19 62 1 4098.477795
16 19 63 2 4857.892180
16 19 64 3 4796.567825
17 20 18 21 5786.980420
17 20 19 22 775.756674
17 20 21 24 -2310.464320
17 20 22 25 -4728.989225
17 20 23 26 -3024.670585
17 20 25 28 5167.658650
17 20 26 29 3643.352195
17 20 27 30 1128.514475
17 20 28 31 -1161.717970
17 20 29 32 -973.182500
17 20 30 33 -2887.661145
17 20 31 34 -1989.589990
17 20 32 35 -1052.035935
17 20 33 36 1922.126500
17 20 34 37 1734.846380
17 20 35 38 958.411824
17 20 36 39 335.259281
17 20 38 41 -1769.963910
17 20 39 42 -1459.630715
17 20 40 43 -1017.323335
17 20 41 44 1017.575950
17 20 42 45 981.913069
17 20 43 46 721.924890
17 20 44 47 505.336433
17 20 45 48 317.429901
17 20 46 49 -1148.028950
17 20 47 50 -1071.597055
17 20 48 51 -869.142417
17 20 49 52 663.605682
17 20 50 53 661.120475
17 20 51 54 577.218267
17 20 52 55 476.965269
17 20 53 56 366.584413
17 20 54 57 -885.030454
17 20 55 58 -865.388685
17 20 56 59 -752.806569
17 20 57 60 527.439323
17 20 58 61 534.382209
17 20 59 62 495.354490
17 20 60 63 421.745644
17 20 61 64 343.259502
17 20 62 1 -4279.008910
17 20 63 2 -2810.488095
18 21 19 22 6009.146830
18 21 20 23 588.680700
18 21 22 25 -6002.583785
18 21 23 26 -5010.974065
18 21 24 27 -3332.988010
18 21 25 28 3598.564665
18 21 26 29 5311.084215
18 21 27 30 3990.556095
18 21 29 32 -946.542382
18 21 30 33 -4052.041575
18 21 31 34 -3124.255585
18 21 32 35 -2294.065560
18 21 33 36 1589.671755
18 21 34 37 2318.214280
18 21 35 38 2057.302300
18 21 36 39 1269.331995
18 21 38 41 -2342.828700
18 21 39 42 -2150.624080
18 21 40 43 -1721.217515
18 21 41 44 996.180752
18 21 42 45 1239.362705
18 21 43 46 1182.079130
18 21 44 47 987.520249
18 21 45 48 640.377908
18 21 46 49 -1480.515370
18 21 47 50 -1521.629415
18 21 48 51 -1338.044665
18 21 49 52 728.676117
18 21 50 53 835.098854
18 21 51 54 841.157146
18 21 52 55 773.888500
18 21 53 56 620.904065
18 21 54 57 -1135.376155
18 21 55 58 -1199.825600
18 21 56 59 -1111.984205
18 21 57 60 615.418619
18 21 58 61 681.634536
18 21 59 62 695.093693
18 21 60 63 638.786515
18 21 61 64 543.273116
18 21 62 1 -4287.017360
